Probe Set;Sequencing Configuration;Sample ID at Source;Slide Area;uid;Dataset Url;Instrument(s);Chemistry Details;Number of Genes Targeted;Transcriptome;Pipeline Version;Number of Spots;Mean Reads per Spot;Median Genes per Spot;Genes Detected;Microscope;Objective;Numerical Aperture;Camera;Exposure;Gain
Visium Mouse Transcriptome Probe Set;;V52B25-081;B;103uy;https://www.10xgenomics.com/datasets/preservation-method-comparison-on-visium-cytassist-fresh-frozen-mouse-brain-sagittal-11-mm-capture-area-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;6,965;86,715;6,660;17,374;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;;V52B25-081;B;10mda;https://www.10xgenomics.com/datasets/preservation-method-comparison-on-visium-cytassist-ffpe-mouse-brain-sagittal-11-mm-capture-area-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;8,470;85,561;4,814;19,364;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;;V52B25-081;B;10ant;https://www.10xgenomics.com/datasets/ffpe-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;8,462;85,642;4,816;19,364;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;;V52B25-081;B;10056;https://www.10xgenomics.com/datasets/fresh-frozen-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard-1;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;6,963;86,740;6,661;17,374;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;;V52B25-029;A;101s6;https://www.10xgenomics.com/datasets/fixed-frozen-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;5,123;141,222;8,183;19,160;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y09-019;B;1001e;https://www.10xgenomics.com/datasets/visium-cytassist-mouse-embryo-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;6,434;129,343;8,846;19,404;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;410 µs;
;Paired-end (28 X 90);V10L08-332;C1;10ckr;https://www.10xgenomics.com/datasets/adult-mouse-brain-coronal-section-fresh-frozen-1-standard;Illumina NovaSeq;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.1.0;2,702;115,569;6,018;21,949;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;Paired-end (28 X 90);V10L08-332;C1;10w6u;https://www.10xgenomics.com/datasets/adult-mouse-brain-coronal-section-fresh-frozen-1-standard;Illumina NovaSeq;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;2,797;57,598;4,426;20,544;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (probe insert/antibody barcode), 10bp i7 sample barcode and 10bp i5 sample barcode;V53J23-361;B1;10z91;https://www.10xgenomics.com/datasets/gene-and-protein-expression-library-of-human-glioblastoma-cytassist-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;5,756;68,906;7,629;18,042;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (probe insert/antibody barcode), 10bp i7 sample barcode and 10bp i5 sample barcode;V43J24-072;A1;10if2;https://www.10xgenomics.com/datasets/gene-and-protein-expression-library-of-human-breast-cancer-cytassist-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;4,169;44,009;5,473;17,957;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (probe insert/antibody barcode), 10bp i7 sample barcode and 10bp i5 sample barcode;V43J30-093;D1;10ekd;https://www.10xgenomics.com/datasets/gene-protein-expression-library-of-human-tonsil-cytassist-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;4,194;111,046;8,275;18,060;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;108ty;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;636;965,394;6,729;19,136;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;10v4k;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;632;971,504;7,206;19,053;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;10s8t;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;501;1,225,530;5,777;18,030;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;10sph;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;638;962,367;5,178;18,202;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;10v61;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;338;1,816,540;7,474;19,300;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;109pp;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;419;1,465,371;4,977;19,273;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;10yhv;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;459;1,337,670;1,744;18,006;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;1090h;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;211;2,909,907;6,445;19,164;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V52Y10-293;A1;102hp;https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard;Visium CytAssist|Illumina Novaseq;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;394;1,558,351;6,982;19,292;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;iDS (VS-264C) color camera with 3.45 um pixel size;;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y10-317;B1;106ip;https://www.10xgenomics.com/datasets/human-brain-cancer-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;10,878;74,057;4,600;18,076;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y10-286;B1;10kmy;https://www.10xgenomics.com/datasets/human-lung-cancer-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;6,195;136,379;10,087;18,077;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y10-365;A1;10iky;https://www.10xgenomics.com/datasets/human-kidney-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;5,936;152,554;5,547;18,068;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y10-310;A1;10drc;https://www.10xgenomics.com/datasets/human-colorectal-cancer-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;9,080;100,335;9,560;18,077;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42U20-064;A1;10ake;https://www.10xgenomics.com/datasets/fresh-frozen-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V4 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.1;4,298;40,329;6,178;16,998;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42U20-030;A1;100my;https://www.10xgenomics.com/datasets/fresh-frozen-visium-on-cytassist-human-breast-cancer-probe-based-whole-transcriptome-profiling-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;1,657;45,766;6,782;16,387;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y09-003;B1;108rf;https://www.10xgenomics.com/datasets/human-ovarian-cancer-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;4,674;46,109;8,792;18,064;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-354;D1;10sn3;https://www.10xgenomics.com/datasets/human-lung-cancer-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;3,858;35,785;6,174;18,066;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-353;D1;10834;https://www.10xgenomics.com/datasets/mouse-brain-coronal-section-2-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.0;2,235;51,674;5,303;19,306;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-353;A1;10ndj;https://www.10xgenomics.com/datasets/mouse-brain-coronal-section-1-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.0;2,310;53,497;6,736;19,352;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-355;A1;10ieh;https://www.10xgenomics.com/datasets/human-melanoma-if-stained-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;3,458;55,952;7,598;18,069;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;Hamamatsu ORCA-Fusion;2.5 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing;V10N30-322;A1;10u6u;https://www.10xgenomics.com/datasets/adult-mouse-olfactory-bulb-1-standard-1;Illumina NovaSeq 6000;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;1,185;39,560;4,790;19,332;;20X objective;;Brightfield camera;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-076;D1;106ru;https://www.10xgenomics.com/datasets/human-prostate-cancer-adjacent-normal-section-with-if-staining-ffpe-1-standard;Illumina NovaSeq;Visium V1 Slide - FFPE v1;17943;GRCh38-2020-A;spaceranger-2.0.0;3,460;29,191;4,614;16,979;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;10wkh;https://www.10xgenomics.com/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;1186;GRCh38-2020-A;spaceranger-1.2.0;4,992;10,200;;1,142;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
;28 x 120 bp;V19B23-014;A1;10k5p;https://www.10xgenomics.com/datasets/human-breast-cancer-visium-fresh-frozen-whole-transcriptome-1-standard;Illumina NovaSeq 600;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.3.0;4,898;47,223;3,654;24,387;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 75 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-020;D1;10vcj;https://www.10xgenomics.com/datasets/human-ovarian-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;3,455;63,836;7,621;17,294;;;;;;
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 50 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-019;A1;10hm6;https://www.10xgenomics.com/datasets/human-cervical-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,781;73,046;7,276;17,871;;;;;;
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 50 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-021;B1;1000j;https://www.10xgenomics.com/datasets/human-intestine-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,660;77,288;7,438;17,579;;;;;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-002;B1;10f2z;https://www.10xgenomics.com/datasets/human-prostate-cancer-acinar-cell-carcinoma-ffpe-1-standard;Illumina NovaSeq;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;3,043;50,207;6,720;17,350;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 120bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11A13-021;C1;103mc;https://www.10xgenomics.com/datasets/adult-mouse-kidney-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;19465;mm10-2020-A;spaceranger-1.3.0;3,124;53,993;7,260;18,162;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 120bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-128;A1;10kz7;https://www.10xgenomics.com/datasets/adult-mouse-brain-if-stained-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;19465;mm10-2020-A;spaceranger-1.3.0;2,438;30,337;6,056;16,789;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
